"rules" "support" "confidence" "coverage" "lift" "count"
"2068" "{Baju Kaos Anak - Superheroes,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0072463768115942 0.862068965517241 0.00840579710144928 6.80580762250454 25
"2992" "{Gembok Koper,Wedges Hitam} => {Atasan Kaos Putih}" 0.043768115942029 0.807486631016043 0.0542028985507246 6.79470457806182 151
"870" "{Celana Jogger Casual,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00666666666666667 0.821428571428571 0.00811594202898551 6.77973342447027 23
"2623" "{Tank Top,Tas Travel} => {Baju Renang Pria Dewasa}" 0.0449275362318841 0.615079365079365 0.0730434782608696 6.77962878442112 155
"1094" "{Celana Panjang Format Hitam,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00318840579710145 0.55 0.00579710144927536 6.77678571428572 11
"2084" "{Jeans Jumbo,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00695652173913044 0.857142857142857 0.00811594202898551 6.76691729323308 24
"2574" "{Baju Renang Pria Dewasa,Tas Travel} => {Atasan Kaos Putih}" 0.043768115942029 0.803191489361702 0.0544927536231884 6.75856253243384 151
"2549" "{Baju Renang Pria Dewasa,Tas Travel} => {Gembok Koper}" 0.0411594202898551 0.75531914893617 0.0544927536231884 6.75090949178701 142
"2104" "{Shampo Anti Dandruff,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0101449275362319 0.546875 0.0185507246376812 6.73828125 35
"2090" "{Kaos,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00840579710144928 0.852941176470588 0.00985507246376812 6.73374613003096 29
"2135" "{Baju Kemeja Putih,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0228985507246377 0.544827586206897 0.0420289855072464 6.71305418719212 79
"2452" "{Baju Kaos Olahraga,Celana Pendek Green/Hijau} => {Baju Kaos Anak - Superheroes}" 0.0202898550724638 0.777777777777778 0.0260869565217391 6.70833333333333 70
"600" "{Baju Kemeja Putih,Kuas Makeup } => {Minyak Rambut}" 0.0133333333333333 0.73015873015873 0.0182608695652174 6.66414714033762 46
"2127" "{Tas Multifungsi,Wedges Hitam} => {Tas Sekolah Anak Laki-laki}" 0.0139130434782609 0.842105263157895 0.0165217391304348 6.64819944598338 48
"2114" "{Celana Pendek Casual,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0104347826086957 0.837209302325581 0.012463768115942 6.60954712362301 36
"2049" "{Baju Renang Pria Dewasa,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00434782608695652 0.833333333333333 0.00521739130434783 6.57894736842105 15
"2095" "{Celana Pendek Green/Hijau,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00695652173913044 0.533333333333333 0.0130434782608696 6.57142857142857 24
"2993" "{Atasan Kaos Putih,Wedges Hitam} => {Gembok Koper}" 0.043768115942029 0.733009708737864 0.0597101449275362 6.551511645455 151
"2109" "{Celana Tactical ,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00985507246376812 0.829268292682927 0.0118840579710145 6.54685494223363 34
"873" "{Serum Vitamin,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.0110144927536232 0.791666666666667 0.0139130434782609 6.53409090909091 38
"2115" "{Celana Pendek Casual,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0104347826086957 0.529411764705882 0.0197101449275362 6.52310924369748 36
"2137" "{Baju Batik Wanita,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0234782608695652 0.529411764705882 0.0443478260869565 6.52310924369748 81
"2711" "{Atasan Kaos Putih,Sepatu Sport merk Z} => {Dompet STNK Gantungan}" 0.0281159420289855 0.642384105960265 0.043768115942029 6.51830931047916 97
"871" "{Baju Kemeja Putih,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00869565217391304 0.789473684210526 0.0110144927536232 6.51599093427348 30
"1727" "{Sepatu Sekolah Hitam W,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00405797101449275 0.823529411764706 0.00492753623188406 6.5015479876161 14
"2123" "{Celana Pendek Jeans,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0121739130434783 0.823529411764706 0.0147826086956522 6.5015479876161 42
"837" "{Baju Kaos Anak - Superheroes,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00318840579710145 0.785714285714286 0.00405797101449275 6.48496240601504 11
"827" "{Sepatu Kulit Casual,Tas Tangan} => {Dompet Kulit Pria}" 0.00347826086956522 0.705882352941177 0.00492753623188406 6.47684605757197 12
"2117" "{Blouse Denim,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.00898550724637681 0.525423728813559 0.0171014492753623 6.47397094430993 31
"2990" "{Atasan Kaos Putih,Tas Travel} => {Gembok Koper}" 0.0423188405797101 0.722772277227723 0.0585507246376812 6.4600112861027 146
"2138" "{Serum Vitamin,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.0278260869565217 0.813559322033898 0.0342028985507246 6.4228367528992 96
"849" "{Celana Tactical ,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00405797101449275 0.777777777777778 0.00521739130434783 6.41945773524721 14
"596" "{Hair Dryer,Kuas Makeup } => {Minyak Rambut}" 0.0115942028985507 0.701754385964912 0.0165217391304348 6.40490114174325 40
"2107" "{Tank Top,Tas Multifungsi} => {Tas Sekolah Anak Laki-laki}" 0.00985507246376812 0.80952380952381 0.0121739130434783 6.39097744360902 34
